ean,nombre,precio,descuento,imagen_link
7702480000855,,NoneNone,,
7702480001272,,NoneNone,,
7702480001647,,NoneNone,,
7702480001661,,NoneNone,,
7702480001678,,NoneNone,,
7702480001685,,NoneNone,,
7702480001845,,NoneNone,,
7702480001852,,NoneNone,,
7702480001876,,NoneNone,,
7702480001920,,NoneNone,,
7702480001937,,NoneNone,,
7702480001975,,NoneNone,,
7702480001982,,NoneNone,,
7702480002163,,NoneNone,,
7702480002651,,NoneNone,,
7702480003580,,NoneNone,,
7702480003597,,NoneNone,,
7702480003740,,NoneNone,,
7702480003757,,NoneNone,,
7702483103027,,NoneNone,,
7702484001674,,NoneNone,,
7702484003586,,NoneNone,,
7702484003647,,NoneNone,,
7702484009014,,NoneNone,,
7702484009052,,NoneNone,,
7702484009090,,NoneNone,,
7702484009182,,NoneNone,,
7702484011789,,NoneNone,,
7702484015961,,NoneNone,,
7702484056032,,NoneNone,,
7702484056070,,NoneNone,,
7702484056094,,NoneNone,,
7702484056117,,NoneNone,,
7702484060695,,NoneNone,,
7702484066932,,NoneNone,,
7702484092856,,NoneNone,,
7702484150112,,NoneNone,,
7702484169190,,NoneNone,,
7702484176716,,NoneNone,,
7702484187651,,NoneNone,,
7702484188863,,NoneNone,,
7702484199166,,NoneNone,,
7702484205294,,NoneNone,,
7702484207571,,NoneNone,,
7702484209056,,NoneNone,,
7702484215606,,NoneNone,,
7702484216078,,NoneNone,,
7702484224950,,NoneNone,,
7702484224967,,NoneNone,,
7702484232870,,NoneNone,,
7702484233853,,NoneNone,,
7702484234058,,NoneNone,,
7702484234218,,NoneNone,,
7702484246778,,NoneNone,,
7702484246785,,NoneNone,,
7702484246808,,NoneNone,,
7702484248109,,NoneNone,,
7702484248499,,NoneNone,,
7702484248512,,NoneNone,,
7702487001022,,NoneNone,,
7702487001145,,NoneNone,,
7702487001220,,NoneNone,,
7702487300323,,NoneNone,,
7702489000818,,NoneNone,,
7702492000058,,NoneNone,,
7702492000157,,NoneNone,,
7702492000164,,NoneNone,,
7702492000850,,NoneNone,,
7702495110068,,NoneNone,,
7702495340335,QUESO PERA SLIM DOÑA LECHE 500 g ,18500,,https://olimpica.vtexassets.com/arquivos/ids/494426-800-auto?width=800&height=auto&aspect=true
7702495340373,,NoneNone,,
7702495340410,,NoneNone,,
7702495400046,,NoneNone,,
7702495400244,,NoneNone,,
7702495406024,,NoneNone,,
7702495420112,,NoneNone,,
7702495420181,,NoneNone,,
7702495421508,,NoneNone,,
7702495430111,,NoneNone,,
7702495440110,,NoneNone,,
7702495440189,,NoneNone,,
7702495450188,,NoneNone,,
7702495460033,,NoneNone,,
7702495460187,,NoneNone,,
7702495466004,,NoneNone,,
7702495480147,,NoneNone,,
7702495481649,,NoneNone,,
7702495490047,,NoneNone,,
7702502008005,,NoneNone,,
7702502015348,,NoneNone,,
7702502015966,,NoneNone,,
7702502015973,,NoneNone,,
7702502015980,,NoneNone,,
7702502016154,,NoneNone,,
7702502016192,,NoneNone,,
7702502017335,,NoneNone,,
7702502017342,,NoneNone,,
7702502017458,,NoneNone,,
7702502017694,,NoneNone,,
7702502017823,,NoneNone,,
7702502019599,,NoneNone,,
7702502019681,,NoneNone,,
7702502019872,,NoneNone,,
7702502019926,,NoneNone,,
7702502020311,,NoneNone,,
7702502020526,,NoneNone,,
7702502020533,,NoneNone,,
7702502020557,,NoneNone,,
7702502704808,,NoneNone,,
7702502705409,,NoneNone,,
7702502708202,,NoneNone,,
7702505502524,,NoneNone,,
7702506110025,,NoneNone,,
7702506110070,,NoneNone,,
7702506111053,,NoneNone,,
7702506111084,,NoneNone,,
7702506111947,,NoneNone,,
7702506111954,,NoneNone,,
7702506111961,,NoneNone,,
7702506112029,,NoneNone,,
7702506112043,,NoneNone,,
7702506112098,,NoneNone,,
7702506112142,,NoneNone,,
7702506112265,,NoneNone,,
7702506112289,,NoneNone,,
7702506112326,PASABOCA CHEFRITO SURTIDO 267g ,5750None,,https://olimpica.vtexassets.com/arquivos/ids/494429-800-auto?width=800&height=auto&aspect=true
7702506113170,,NoneNone,,
7702506970353,,NoneNone,,
7702508000034,,NoneNone,,
7702508000041,,NoneNone,,
7702508000225,,NoneNone,,
7702511001603,,NoneNone,,
7702511003091,,NoneNone,,
7702511003480,,NoneNone,,
7702515000027,,NoneNone,,
7702515000065,,NoneNone,,
7702515000133,,NoneNone,,
7702515000140,,NoneNone,,
7702515000157,,NoneNone,,
7702515000171,,NoneNone,,
7702515000188,,NoneNone,,
7702515000355,,NoneNone,,
7702515000515,,NoneNone,,
7702515000560,,NoneNone,,
7702515000812,,NoneNone,,
7702515001116,,NoneNone,,
7702515001178,,NoneNone,,
7702518020015,,NoneNone,,
7702518020022,,NoneNone,,
7702518020213,,NoneNone,,
7702518020244,,NoneNone,,
7702518020367,,NoneNone,,
7702518020374,,NoneNone,,
7702518020398,,NoneNone,,
7702518020459,,NoneNone,,
7702518020633,,NoneNone,,
