ean,nombre,precio,descuento,imagen_link
7704768001622,,NoneNone,,
7704768001950,,NoneNone,,
7704768002155,,NoneNone,,
7704768002179,,NoneNone,,
7704768002353,,NoneNone,,
7704768002452,,NoneNone,,
7704768002704,,NoneNone,,
7704768002728,,NoneNone,,
7704768002964,,NoneNone,,
7704768003046,,NoneNone,,
7704768003121,,NoneNone,,
7704768003343,,NoneNone,,
7704768003466,,NoneNone,,
7704768003565,,NoneNone,,
7704768003589,,NoneNone,,
7704768003817,,NoneNone,,
7704768003909,,NoneNone,,
7704768004036,,NoneNone,,
7704768004173,,NoneNone,,
7704768004197,,NoneNone,,
7704768004401,,NoneNone,,
7704768004425,,NoneNone,,
7704768004586,,NoneNone,,
7704768004609,,NoneNone,,
7704768004623,,NoneNone,,
7704768004630,,NoneNone,,
7704768004647,,NoneNone,,
7704768004661,,NoneNone,,
7704768004678,,NoneNone,,
7704768004715,,NoneNone,,
7704768004777,,NoneNone,,
7704768005163,,NoneNone,,
7704768005262,,NoneNone,,
7704777100453,,NoneNone,,
7704777100644,,NoneNone,,
7704777100651,,NoneNone,,
7704777100675,,NoneNone,,
7704777100750,,NoneNone,,
7704790200512,,NoneNone,,
7704841042405,,NoneNone,,
7704872001709,,NoneNone,,
7704872004069,,NoneNone,,
7704872004397,,NoneNone,,
7704872980790,,NoneNone,,
7704892110016,,NoneNone,,
7704902003536,,NoneNone,,
7704902007503,,NoneNone,,
7704902010466,,NoneNone,,
7704902010664,,NoneNone,,
7704918101103,,NoneNone,,
7704918101271,,NoneNone,,
7704918103114,,NoneNone,,
7704918103404,,NoneNone,,
7704918242011,,NoneNone,,
7704918251419,,NoneNone,,
7704918387019,,NoneNone,,
7704918392013,,NoneNone,,
7704918875011,,NoneNone,,
7704980001356,,NoneNone,,
7704980001417,,NoneNone,,
7705040302048,,NoneNone,,
7705043131065,,NoneNone,,
7705043315359,,NoneNone,,
7705043321350,,NoneNone,,
7705043325358,,NoneNone,,
7705043339355,,NoneNone,,
7705043401014,,NoneNone,,
7705043401045,,NoneNone,,
7705043401052,,NoneNone,,
7705043401076,,NoneNone,,
7705043404053,,NoneNone,,
7705043585028,,NoneNone,,
7705091000115,,NoneNone,,
7705091000146,,NoneNone,,
7705091000153,,NoneNone,,
7705091000177,,NoneNone,,
7705091000344,,NoneNone,,
7705091000351,,NoneNone,,
7705091000399,,NoneNone,,
7705091000702,,NoneNone,,
7705091000818,,NoneNone,,
7705091000900,,NoneNone,,
7705091001600,,NoneNone,,
7705091001747,,NoneNone,,
7705098001511,,NoneNone,,
7705110000027,,NoneNone,,
7705122001302,,NoneNone,,
7705122002040,,NoneNone,,
7705122002071,,NoneNone,,
7705122002361,,NoneNone,,
7705124160359,,NoneNone,,
7705124160380,,NoneNone,,
7705124160526,,NoneNone,,
7705124160557,,NoneNone,,
7705124170051,,NoneNone,,
7705137100045,,NoneNone,,
7705137100083,,NoneNone,,
7705137100120,,NoneNone,,
7705137100380,,NoneNone,,
7705137400336,,NoneNone,,
7705137400602,,NoneNone,,
7705137400800,,NoneNone,,
7705137500333,,NoneNone,,
7705137500340,,NoneNone,,
7705137500364,,NoneNone,,
7705137800143,,NoneNone,,
7705143006041,,NoneNone,,
7705143006096,,NoneNone,,
7705143007048,,NoneNone,,
7705152037906,Organizador de Ducha RIMAX Blanco ,22900,,https://olimpica.vtexassets.com/arquivos/ids/566585-800-auto?width=800&height=auto&aspect=true
7705152037913,,NoneNone,,
7705152062373,Esquinero de Baño RIMAX Taupe ,16900,,https://olimpica.vtexassets.com/arquivos/ids/566589-800-auto?width=800&height=auto&aspect=true
7705186000013,,NoneNone,,
7705186000068,,NoneNone,,
7705190000306,,NoneNone,,
7705210001207,,NoneNone,,
7705210001221,,NoneNone,,
7705210001238,,NoneNone,,
7705210001245,,NoneNone,,
7705210017345,,NoneNone,,
7705210017383,,NoneNone,,
7705210142054,,NoneNone,,
7705210214065,,NoneNone,,
7705230879275,,NoneNone,,
7705230879282,,NoneNone,,
7705233100154,,NoneNone,,
7705233100284,,NoneNone,,
7705233360077,,NoneNone,,
7705233904400,,NoneNone,,
7705241090201,,NoneNone,,
7705241090218,,NoneNone,,
7705241100368,,NoneNone,,
7705241100498,,NoneNone,,
7705241100511,,NoneNone,,
7705241100535,,NoneNone,,
7705241100542,,NoneNone,,
7705241100740,,NoneNone,,
7705241110206,,NoneNone,,
7705241300102,,NoneNone,,
7705241300126,,NoneNone,,
7705241300133,,NoneNone,,
7705241300218,,NoneNone,,
7705241300287,,NoneNone,,
7705241300423,,NoneNone,,
7705241400222,,NoneNone,,
7705241400390,,NoneNone,,
7705241400413,,NoneNone,,
7705241400604,,NoneNone,,
7705241400635,,NoneNone,,
7705241400703,,NoneNone,,
7705241400802,,NoneNone,,
7705241400956,,NoneNone,,
7705241400970,,NoneNone,,
7705241400987,,NoneNone,,
7705241700209,,NoneNone,,
7705241700322,,NoneNone,,
7705241700377,,NoneNone,,
7705241900029,,NoneNone,,
7705266200005,,NoneNone,,
7705268000023,,NoneNone,,
7705268000030,,NoneNone,,
7705268000047,,NoneNone,,
7705268000078,,NoneNone,,
7705268000092,,NoneNone,,
7705268000115,,NoneNone,,
7705268000122,,NoneNone,,
7705268000139,,NoneNone,,
7705268000177,,NoneNone,,
7705268000245,,NoneNone,,
7705268000306,,NoneNone,,
7705268000320,,NoneNone,,
7705268000344,,NoneNone,,
7705268000351,,NoneNone,,
7705268000511,,NoneNone,,
7705268000573,,NoneNone,,
7705268000610,,NoneNone,,
7705268000658,,NoneNone,,
7705268000702,,NoneNone,,
7705268000818,,NoneNone,,
7705268000993,,NoneNone,,
